Epoch_Time	Flow_Rate
 1531825678.9197953	0.084
1531825679.9249249	0.123
1531825680.9295678	0.144
1531825681.941632	0.165
1531825682.94707	0.179
1531825683.9524777	0.174
1531825684.9579813	0.161
1531825685.9634664	0.149
1531825686.9690304	0.139
1531825687.9755015	0.130
1531825688.980279	0.123
1531825689.9866729	0.118
1531825690.993047	0.114
1531825691.9994738	0.109
1531825693.0047781	0.107
1531825694.0100996	0.106
1531825695.0161088	0.104
1531825696.0212283	0.102
1531825697.0266037	0.101
1531825698.0321016	0.100
1531825699.0372424	0.099
1531825700.042358	0.100
1531825701.0476377	0.099
1531825702.0528767	0.098
1531825703.0586138	0.097
1531825704.064896	0.096
1531825705.0700293	0.096
1531825706.0755656	0.096
1531825707.0812073	0.096
1531825708.086728	0.096
1531825709.0921197	0.096
1531825710.0976837	0.096
1531825711.1032417	0.096
1531825712.1149678	0.096
1531825713.1204102	0.096
1531825714.1260436	0.096
1531825715.1314676	0.096
1531825716.1374362	0.096
1531825717.1502194	0.097
1531825718.155204	0.096
1531825719.1598463	0.097
1531825720.164972	0.096
1531825721.1695461	0.096
1531825722.1742697	0.097
1531825723.178835	0.096
1531825724.1839123	0.096
1531825725.1889856	0.096
1531825726.1939244	0.096
1531825727.198737	0.097
1531825728.2035432	0.097
1531825729.208415	0.096
1531825730.2134163	0.096
1531825731.218694	0.097
1531825732.223767	0.096
1531825733.228637	0.096
1531825734.233184	0.097
1531825735.238203	0.097
1531825736.2431874	0.097
1531825737.2481613	0.097
1531825738.2526937	0.097
1531825739.257318	0.096
1531825740.262365	0.096
1531825741.2674787	0.097
1531825742.2785356	0.096
1531825743.2836716	0.097
1531825744.288882	0.097
1531825745.2940028	0.097
1531825746.2991147	0.097
1531825747.304657	0.097
1531825748.3098626	0.096
1531825749.315103	0.097
1531825750.3202097	0.097
1531825751.3256845	0.097
1531825752.3310885	0.097
1531825753.33648	0.097
1531825754.3422303	0.097
1531825755.3480554	0.097
1531825756.3537588	0.098
1531825757.3596895	0.098
1531825758.3655262	0.097
1531825759.3711522	0.097
1531825760.3768373	0.097
1531825761.3825893	0.098
1531825762.388526	0.098
1531825763.3944006	0.097
1531825764.400139	0.097
1531825765.4059448	0.097
1531825766.411719	0.097
1531825767.4176319	0.097
1531825768.4233649	0.097
1531825769.4294026	0.098
1531825770.43487	0.098
1531825771.4402568	0.098
1531825772.4458375	0.097
1531825773.4512117	0.096
1531825774.4573123	0.096
1531825775.4624074	0.098
1531825776.467753	0.099
1531825777.4759502	0.098
1531825778.481283	0.097
1531825779.4870203	0.098
1531825780.4925587	0.098
1531825781.4974144	0.097
1531825782.5027084	0.098
1531825783.507947	0.099
1531825784.5134082	0.098
1531825785.5189447	0.098
1531825786.5245335	0.097
1531825787.5363023	0.097
1531825788.541486	0.097
1531825789.5471854	0.097
1531825790.5528264	0.096
1531825791.5583918	0.097
1531825792.5700417	0.098
1531825793.5751255	0.098
1531825794.580246	0.098
1531825795.5859094	0.098
1531825796.5914726	0.099
1531825797.6040196	0.099
1531825798.609161	0.099
1531825799.614632	0.099
1531825800.620009	0.097
1531825801.6265082	0.097
1531825802.6381176	0.098
1531825803.643621	0.098
1531825804.649179	0.098
1531825805.6550589	0.097
