Epoch_Time	Flow_Rate
 1531824491.0022187	0.083
1531824492.0085714	0.127
1531824493.0147758	0.151
1531824494.0202258	0.176
1531824495.025296	0.190
1531824496.03029	0.181
1531824497.035336	0.166
1531824498.0404124	0.152
1531824499.04547	0.141
1531824500.0504763	0.131
1531824501.1860158	0.125
1531824502.1910486	0.119
1531824503.1960344	0.115
1531824504.201034	0.112
1531824505.2060676	0.109
1531824506.224668	0.106
1531824507.2296753	0.104
1531824508.2347786	0.102
1531824509.2399971	0.101
1531824510.2446454	0.100
1531824511.2492862	0.099
1531824512.2543817	0.098
1531824513.2594237	0.098
1531824514.2645586	0.099
1531824515.2691205	0.098
1531824516.2739608	0.098
1531824517.2785325	0.097
1531824518.283526	0.096
1531824519.2885606	0.097
1531824520.2935054	0.096
1531824521.298607	0.096
1531824522.3035922	0.095
1531824523.308609	0.095
1531824524.3136396	0.096
1531824525.3187037	0.096
1531824526.324039	0.096
1531824527.3290596	0.096
1531824528.3340847	0.096
1531824529.3389983	0.097
1531824530.344079	0.096
1531824531.3607993	0.095
1531824532.3654222	0.096
1531824533.3699853	0.096
1531824534.3746076	0.096
1531824535.3792021	0.096
1531824536.3962686	0.096
1531824537.4011054	0.096
1531824538.4059873	0.096
1531824539.4108615	0.096
1531824540.4154396	0.096
1531824541.4323785	0.096
1531824542.437093	0.096
1531824543.4416366	0.097
1531824544.446778	0.097
1531824545.4517353	0.097
1531824546.4692924	0.097
1531824547.474368	0.097
1531824548.4794014	0.097
1531824549.484395	0.097
1531824550.4894233	0.096
1531824551.506322	0.096
1531824552.511315	0.097
1531824553.516323	0.097
1531824554.521309	0.097
1531824555.5263073	0.096
1531824556.5438082	0.096
1531824557.5489252	0.097
1531824558.5540078	0.097
1531824559.5590158	0.097
1531824560.5640402	0.097
1531824561.5809484	0.097
1531824562.5859473	0.096
1531824563.5909898	0.096
1531824564.596013	0.097
1531824565.6009889	0.097
1531824566.6189234	0.097
1531824567.6247394	0.097
1531824568.6305764	0.098
1531824569.6360657	0.098
1531824570.6418183	0.098
1531824571.6477861	0.097
1531824572.653184	0.097
1531824573.658947	0.097
1531824574.66376	0.098
1531824575.6689866	0.098
1531824576.6752217	0.098
1531824577.6807485	0.097
1531824578.6862624	0.097
1531824579.6913748	0.096
1531824580.6964955	0.097
1531824581.7017233	0.098
1531824582.7069714	0.097
1531824583.7120483	0.097
1531824584.7174072	0.097
1531824585.7229915	0.098
1531824586.7287478	0.098
1531824587.734423	0.097
1531824588.74015	0.096
1531824589.7452729	0.097
1531824590.7504227	0.097
1531824591.7559571	0.098
1531824592.7614024	0.098
1531824593.766902	0.098
1531824594.7730117	0.098
1531824595.778589	0.097
1531824596.7956192	0.097
1531824597.8008094	0.097
1531824598.8059916	0.097
1531824599.8115628	0.097
1531824600.8172107	0.098
1531824601.8356419	0.098
1531824602.8414404	0.098
1531824603.8473196	0.097
1531824604.8531053	0.098
1531824605.8589447	0.098
1531824606.8771951	0.098
1531824607.8829608	0.097
1531824608.8888466	0.098
1531824609.8952558	0.098
1531824610.9004247	0.098
1531824611.918765	0.097
1531824612.9246888	0.098
1531824613.9297488	0.099
1531824614.9355645	0.098
1531824615.9416254	0.098
1531824616.9590054	0.098
1531824617.964408	0.098
1531824618.969584	0.097
1531824619.9747899	0.097
1531824620.9799757	0.097
1531824621.9919043	0.097
1531824622.9975078	0.098
1531824624.002984	0.098
