Epoch_Time	Flow_Rate
 1531469641.71909	0.100
1531469644.721835	0.100
1531469647.7244189	0.100
1531469650.7270858	0.100
1531469653.7298198	0.100
1531469656.7328484	0.100
1531469659.7355382	0.100
1531469662.7382524	0.100
1531469665.7408621	0.100
1531469668.7435784	0.100
1531469671.7462516	0.100
1531469674.7490203	0.100
1531469677.7516923	0.100
1531469680.754334	0.100
1531469683.7570045	0.100
1531469686.7598083	0.100
1531469689.7624104	0.100
1531469692.7650714	0.100
1531469695.7678893	0.100
1531469698.7764812	0.100
1531469701.779197	0.100
