Epoch_Time	Flow_Rate
 1531824287.3173175	0.121
1531824288.32243	0.158
1531824289.3341248	0.180
1531824290.3391485	0.189
1531824291.3446035	0.192
1531824292.3499775	0.193
1531824293.3559496	0.187
1531824294.367439	0.173
1531824295.373077	0.159
1531824296.3783205	0.148
1531824297.383396	0.138
1531824298.3886733	0.130
1531824299.3941486	0.123
1531824300.3995912	0.118
1531824301.4050846	0.114
1531824302.4104977	0.110
1531824303.4159474	0.108
1531824304.42173	0.106
1531824305.42732	0.104
1531824306.432964	0.103
1531824307.4388394	0.101
1531824308.4440327	0.100
1531824309.4495275	0.099
1531824310.455026	0.099
1531824311.4605393	0.099
1531824312.4657533	0.099
1531824313.4708972	0.098
1531824314.4760902	0.098
1531824315.4813044	0.098
1531824316.4868596	0.097
1531824317.4920495	0.097
1531824318.497391	0.096
1531824319.5025532	0.096
1531824320.507728	0.095
1531824321.5132747	0.096
1531824322.5189385	0.096
1531824323.5247447	0.096
1531824324.53038	0.096
1531824325.5352814	0.096
1531824326.5398319	0.096
1531824327.5444396	0.096
1531824328.5489914	0.096
1531824329.5535977	0.096
1531824330.5582786	0.096
1531824331.5632732	0.096
1531824332.568381	0.096
1531824333.5733955	0.096
1531824334.5785353	0.096
1531824335.5834885	0.096
1531824336.5886436	0.096
1531824337.593585	0.096
1531824338.5986326	0.095
1531824339.609388	0.096
1531824340.6144972	0.097
1531824341.6195045	0.097
1531824342.624604	0.096
1531824343.6296415	0.097
1531824344.6349723	0.096
1531824345.6400993	0.096
1531824346.645216	0.096
