Epoch_Time	Flow_Rate
 1531489039.398903	0.000
1531489041.4039125	0.000
1531489043.4088588	0.000
1531489045.413643	0.000
1531489047.4186172	0.000
1531489049.4233663	0.000
1531489051.4282217	0.000
1531489053.4330325	0.000
1531489055.4378424	0.000
1531489057.4426603	0.000
1531489059.4473534	0.000
1531489061.4520254	0.000
1531489063.4567196	0.000
1531489065.461375	0.000
1531489067.4660783	0.000
1531489069.4707417	0.000
1531489071.475447	0.000
1531489073.480163	0.000
1531489075.4849753	0.000
1531489077.4897578	0.000
1531489079.4947364	0.000
1531489081.4996274	0.000
1531489083.5043368	0.000
1531489085.5094573	0.000
1531489087.5144002	0.000
1531489089.5198927	0.000
1531489091.525855	0.000
1531489093.5316868	0.000
1531489095.537589	0.000
1531489097.5434594	0.000
1531489099.5490363	0.000
1531489101.55452	0.000
1531489103.560264	0.000
1531489105.5649161	0.000
1531489107.5696821	0.000
1531489109.5744126	0.000
1531489111.5791981	0.000
1531489113.5839405	0.000
1531489115.58876	0.000
1531489117.5934448	0.000
1531489119.5986953	0.000
1531489121.604017	0.000
1531489123.609363	0.000
1531489125.6147063	0.000
1531489127.6200986	0.000
1531489129.6250684	0.000
1531489131.630817	0.000
1531489133.6422813	0.000
1531489135.6475632	0.000
1531489137.6528409	0.000
1531489139.6651444	0.000
1531489141.6700625	0.000
