Epoch_Time	Flow_Rate
 1531480647.9472682	0.100
1531480649.9526746	0.100
1531480651.9579914	0.099
1531480653.9632843	0.099
1531480655.9685957	0.098
1531480657.98063	0.098
1531480659.9859824	0.099
1531480661.9913151	0.098
1531480663.9966357	0.099
1531480666.0019674	0.099
1531480668.0072856	0.099
1531480670.0124035	0.100
1531480672.017914	0.100
1531480674.0230405	0.100
1531480676.0291271	0.099
1531480678.0350723	0.099
1531480680.040216	0.100
1531480682.0698588	0.100
1531480684.0752726	0.100
1531480686.080704	0.101
1531480688.0861526	0.101
1531480690.0913963	0.100
1531480692.0968032	0.100
1531480694.1084838	0.100
1531480696.1139557	0.100
1531480698.1192324	0.100
1531480700.1246295	0.099
1531480702.1301248	0.099
1531480704.1363125	0.098
1531480706.1422982	0.098
1531480708.1476262	0.098
1531480710.1529853	0.098
1531480712.1584795	0.098
1531480714.164621	0.099
1531480716.171241	0.099
1531480718.1772473	0.099
1531480720.182524	0.100
1531480722.1879287	0.100
1531480724.1928468	0.100
