Epoch_Time	Flow_Rate
 1531816554.3757923	0.114
1531816555.380943	0.166
1531816556.386116	0.196
1531816557.391172	0.195
1531816558.3962207	0.178
1531816559.4012866	0.162
1531816560.4190695	0.148
1531816561.4241807	0.138
1531816562.429293	0.129
1531816563.4354908	0.122
1531816564.4405572	0.117
1531816565.458024	0.113
1531816566.4635208	0.110
1531816567.4695392	0.107
1531816568.4749672	0.105
1531816569.4804041	0.103
1531816570.4859574	0.101
1531816571.491387	0.100
1531816572.4972692	0.099
1531816573.5027666	0.099
1531816574.5082228	0.098
1531816575.5137215	0.097
1531816576.5191715	0.097
1531816577.5249915	0.097
1531816578.5298884	0.097
1531816579.5353796	0.097
1531816580.5409994	0.097
1531816581.5465713	0.096
1531816582.5520236	0.096
1531816583.5576422	0.097
1531816584.563102	0.096
1531816585.5687165	0.096
1531816586.5744975	0.096
1531816587.580001	0.096
1531816588.5855043	0.095
1531816589.590948	0.095
1531816590.596236	0.095
1531816591.601352	0.096
1531816592.6071131	0.096
1531816593.612654	0.097
1531816594.6181211	0.096
1531816595.6237445	0.096
1531816596.6293445	0.096
1531816597.6349468	0.095
1531816598.640487	0.095
1531816599.646018	0.096
1531816600.6579638	0.095
1531816601.663433	0.097
1531816602.6691182	0.097
1531816603.6746745	0.097
1531816604.6800952	0.098
1531816605.6853588	0.097
1531816606.6905365	0.096
1531816607.695956	0.095
1531816608.701427	0.095
1531816609.7069976	0.095
1531816610.7124743	0.094
1531816611.7180536	0.095
1531816612.7234945	0.096
1531816613.7289803	0.097
1531816614.7349718	0.097
1531816615.7408807	0.097
1531816616.7457387	0.098
1531816617.7503304	0.097
1531816618.755281	0.097
1531816619.759864	0.096
1531816620.764594	0.096
1531816621.7692409	0.097
1531816622.7737188	0.097
1531816623.7783194	0.097
1531816624.7832935	0.097
1531816625.7944129	0.097
1531816626.7991784	0.097
1531816627.8042789	0.097
1531816628.8089614	0.097
1531816629.814184	0.097
1531816630.819436	0.097
1531816631.8247914	0.097
1531816632.8299432	0.097
1531816633.8351731	0.097
1531816634.8403342	0.097
1531816635.8458138	0.097
1531816636.8509653	0.097
1531816637.8561606	0.097
1531816638.8613307	0.097
1531816639.8666716	0.097
1531816640.8782594	0.097
1531816641.8834376	0.097
1531816642.888667	0.097
1531816643.8938	0.097
1531816644.8990147	0.097
1531816645.911119	0.097
1531816646.9162872	0.097
1531816647.9214914	0.097
1531816648.926776	0.098
1531816649.9318511	0.098
1531816650.9432125	0.098
1531816651.949838	0.098
1531816652.9564679	0.097
1531816653.962491	0.098
1531816654.9668248	0.099
1531816655.9778075	0.098
1531816656.983041	0.098
1531816657.9883342	0.096
1531816658.9938128	0.096
1531816659.9993484	0.097
1531816661.0103984	0.097
1531816662.0155232	0.098
1531816663.0210307	0.098
1531816664.025592	0.098
1531816665.0305295	0.098
1531816666.0418437	0.098
1531816667.0465508	0.097
1531816668.0516248	0.097
1531816669.0567403	0.097
1531816670.0617797	0.098
1531816671.0672998	0.097
1531816672.0723577	0.097
1531816673.0775046	0.098
1531816674.0825572	0.099
1531816675.08769	0.100
1531816676.0991237	0.100
1531816677.1041918	0.098
1531816678.109219	0.096
1531816679.1143475	0.096
1531816680.1194258	0.096
1531816681.132474	0.097
1531816682.1377904	0.098
1531816683.1428041	0.098
1531816684.147946	0.099
1531816685.1529503	0.098
1531816686.1643708	0.098
1531816687.169357	0.098
1531816688.174706	0.098
1531816689.1798947	0.099
1531816690.1851444	0.099
1531816691.1965542	0.098
1531816692.2016108	0.098
1531816693.2067924	0.098
1531816694.2119188	0.098
1531816695.2170324	0.098
1531816696.2287667	0.098
1531816697.2338154	0.098
1531816698.2389174	0.098
1531816699.2438233	0.097
1531816700.2487938	0.097
1531816701.259895	0.098
1531816702.2648742	0.097
1531816703.2695522	0.097
1531816704.2742198	0.097
1531816705.2787883	0.098
1531816706.2898765	0.098
1531816707.2949219	0.098
1531816708.2999582	0.098
1531816709.3050487	0.099
1531816710.310228	0.099
1531816711.3229265	0.098
1531816712.3277447	0.098
1531816713.3328722	0.098
1531816714.3380435	0.099
1531816715.343059	0.098
1531816716.3545377	0.098
1531816717.3595173	0.098
1531816718.364665	0.099
1531816719.369747	0.099
1531816720.3752384	0.098
1531816721.3863804	0.099
1531816722.3913941	0.098
1531816723.3965864	0.098
1531816724.4016483	0.098
1531816725.4069514	0.097
1531816726.4116037	0.098
1531816727.4163334	0.098
1531816728.4208877	0.099
1531816729.4254837	0.099
1531816730.4303792	0.098
1531816731.4349897	0.098
1531816732.4395804	0.098
1531816733.444214	0.099
1531816734.448757	0.099
1531816735.4539094	0.098
1531816736.465353	0.098
1531816737.470881	0.098
1531816738.4763098	0.098
1531816739.4818559	0.098
1531816740.4870188	0.098
1531816741.4986506	0.098
1531816742.5038137	0.099
1531816743.5093253	0.099
1531816744.514889	0.098
1531816745.52032	0.098
1531816746.5259204	0.098
1531816747.531671	0.098
1531816748.5373516	0.098
1531816749.5429342	0.098
1531816750.548647	0.098
1531816751.5544116	0.098
1531816752.5600688	0.098
1531816753.5659354	0.098
1531816754.5717795	0.097
1531816755.5782633	0.098
1531816756.5890446	0.099
1531816757.59359	0.099
1531816758.5982168	0.098
