Epoch_Time	Flow_Rate
 1531489631.2719176	0.099
1531489633.2768514	0.099
1531489635.2815275	0.100
1531489637.286437	0.100
1531489639.291121	0.101
1531489641.2958267	0.101
1531489643.3004847	0.100
1531489645.3052022	0.100
1531489647.3100586	0.099
1531489649.3148737	0.099
1531489651.320181	0.099
1531489653.325506	0.099
1531489655.3301837	0.099
1531489657.3349342	0.098
1531489659.339832	0.098
1531489661.3446364	0.098
1531489663.349592	0.100
1531489665.354327	0.100
1531489667.3591912	0.099
1531489669.363893	0.099
1531489671.3687778	0.098
1531489673.3737664	0.098
1531489675.378906	0.100
1531489677.3839457	0.100
1531489679.388892	0.101
1531489681.3935983	0.101
1531489683.3983881	0.100
1531489685.402959	0.099
1531489687.4076242	0.099
1531489689.4123204	0.098
1531489691.4170887	0.098
1531489693.4217663	0.098
1531489695.426543	0.098
1531489697.4312408	0.100
1531489699.436118	0.098
1531489701.4409876	0.098
1531489703.445672	0.099
1531489705.4504337	0.100
1531489707.4553952	0.100
1531489709.4667065	0.099
1531489711.4714	0.098
1531489713.4761124	0.098
1531489715.480727	0.097
1531489717.4855456	0.097
1531489719.4904397	0.098
1531489721.4952729	0.098
1531489723.499981	0.098
1531489725.5050662	0.099
1531489727.5097795	0.099
1531489729.5144866	0.098
1531489731.519214	0.099
1531489733.5239573	0.099
1531489735.5290718	0.099
1531489737.5339646	0.099
1531489739.538667	0.099
1531489741.5433636	0.098
1531489743.5481875	0.098
1531489745.5528738	0.098
1531489747.5576203	0.098
1531489749.5623465	0.099
1531489751.5671144	0.100
1531489753.5718157	0.099
1531489755.5765803	0.099
1531489757.5812302	0.099
1531489759.5860856	0.098
1531489761.5911415	0.098
1531489763.596102	0.098
1531489765.6007926	0.099
1531489767.605815	0.100
1531489769.6105368	0.100
1531489771.615366	0.100
1531489773.6201007	0.099
1531489775.6247494	0.099
1531489777.6295605	0.099
1531489779.6346133	0.099
1531489781.6394105	0.100
1531489783.6440995	0.100
1531489785.6490314	0.100
1531489787.6537492	0.099
1531489789.658625	0.099
1531489791.6633878	0.099
1531489793.6681938	0.099
1531489795.6728957	0.100
1531489797.6777174	0.100
1531489799.6825774	0.100
1531489801.6875198	0.099
1531489803.6922812	0.099
1531489805.6970944	0.098
1531489807.7018402	0.098
1531489809.706721	0.098
1531489811.7114823	0.098
1531489813.7163014	0.098
1531489815.721053	0.098
1531489817.725881	0.098
1531489819.7306113	0.099
1531489821.7354364	0.099
1531489823.7402043	0.100
1531489825.7521007	0.100
1531489827.7568908	0.100
1531489829.7616227	0.099
1531489831.7736356	0.099
1531489833.7788818	0.099
1531489835.7840974	0.099
1531489837.789852	0.099
1531489839.7950776	0.100
1531489841.8007097	0.100
1531489843.8062465	0.099
1531489845.8113415	0.099
1531489847.8165572	0.099
1531489849.8219683	0.097
1531489851.827334	0.097
1531489853.8326313	0.098
1531489855.8380132	0.099
1531489857.8433208	0.100
1531489859.8491797	0.101
1531489861.862203	0.101
1531489863.8680434	0.100
1531489865.8734784	0.100
1531489867.8788817	0.100
1531489869.8841455	0.100
1531489871.8899565	0.099
1531489873.8964458	0.099
1531489875.9032416	0.099
1531489877.909725	0.099
1531489879.9157717	0.099
1531489881.9217129	0.098
1531489883.9272635	0.098
1531489885.9324958	0.098
1531489887.9376943	0.098
1531489889.9429388	0.098
1531489891.9485168	0.098
1531489893.9541953	0.099
1531489895.9607208	0.100
1531489897.9676037	0.101
1531489899.9733803	0.102
1531489901.9786725	0.102
1531489903.9839108	0.101
1531489905.9892802	0.101
1531489908.0011299	0.099
1531489910.0072365	0.097
1531489912.0126092	0.097
1531489914.017937	0.097
1531489916.0233498	0.097
1531489918.028797	0.098
1531489920.041456	0.099
1531489922.0469239	0.100
1531489924.0521731	0.100
1531489926.0579445	0.100
1531489928.0637496	0.099
1531489930.069775	0.099
1531489932.0756514	0.099
1531489934.0815792	0.099
1531489936.0876226	0.099
1531489938.0996876	0.100
1531489940.105116	0.100
1531489942.1105967	0.099
1531489944.1165004	0.099
1531489946.1224215	0.099
1531489948.1278949	0.097
1531489950.1331546	0.097
1531489952.138985	0.097
1531489954.144237	0.098
1531489956.1495829	0.099
1531489958.1551652	0.100
1531489960.160804	0.101
1531489962.166292	0.100
1531489964.171615	0.100
1531489966.1769261	0.099
1531489968.1888008	0.099
1531489970.1951714	0.100
1531489972.202076	0.100
1531489974.2090337	0.100
1531489976.2154057	0.100
1531489978.2215858	0.099
1531489980.227622	0.099
1531489982.234228	0.098
1531489984.2411578	0.098
1531489986.2474823	0.097
1531489988.253153	0.097
1531489990.2583404	0.097
1531489992.263487	0.098
1531489994.2687807	0.098
1531489996.2740119	0.098
1531489998.2800353	0.099
1531490000.2860267	0.100
1531490002.2919343	0.099
1531490004.2978466	0.100
1531490006.3031292	0.099
1531490008.3085065	0.099
1531490010.31354	0.099
1531490012.3188589	0.098
1531490014.324086	0.098
1531490016.329455	0.098
1531490018.3346388	0.098
1531490020.3399098	0.098
1531490022.3456407	0.099
1531490024.3516245	0.099
1531490026.3580778	0.099
1531490028.3649251	0.099
1531490030.3719113	0.100
1531490032.3788247	0.100
1531490034.3861678	0.100
1531490036.392045	0.101
1531490038.3982162	0.102
1531490040.4039562	0.102
1531490042.409358	0.101
1531490044.414451	0.101
1531490046.4196246	0.100
1531490048.4247215	0.100
1531490050.4298587	0.099
1531490052.434859	0.099
1531490054.440112	0.099
1531490056.4456203	0.100
1531490058.4512954	0.100
1531490060.4566867	0.100
1531490062.4618924	0.101
1531490064.4671097	0.100
1531490066.472343	0.099
1531490068.478055	0.099
1531490070.4845164	0.099
1531490072.4915009	0.099
1531490074.498344	0.099
1531490076.5052078	0.099
1531490078.5111449	0.098
1531490080.516343	0.098
1531490082.5215385	0.099
1531490084.5266778	0.099
1531490086.5318406	0.099
1531490088.5372093	0.100
1531490090.5423174	0.099
1531490092.5480535	0.099
1531490094.5534084	0.099
1531490096.5586886	0.099
1531490098.5642967	0.099
1531490100.570944	0.099
1531490102.5778475	0.099
1531490104.583623	0.099
1531490106.589169	0.099
1531490108.59421	0.098
1531490110.5995116	0.098
1531490112.6046448	0.098
1531490114.6099067	0.098
1531490116.6152189	0.098
1531490118.6205065	0.098
1531490120.625773	0.099
1531490122.6310391	0.099
1531490124.636327	0.099
1531490126.6415472	0.099
1531490128.6468194	0.099
1531490130.6522155	0.099
1531490132.658906	0.100
1531490134.6662908	0.100
1531490136.673184	0.101
1531490138.6795838	0.101
1531490140.684834	0.101
1531490142.6967812	0.100
1531490144.70179	0.101
1531490146.7068357	0.099
1531490148.7191925	0.099
1531490150.7242918	0.099
1531490152.7296367	0.099
1531490154.741824	0.100
1531490156.7477071	0.100
1531490158.7536268	0.100
1531490160.7679043	0.099
1531490162.7725873	0.099
1531490164.7774124	0.099
1531490166.7822762	0.099
1531490168.7875102	0.099
1531490170.7928689	0.100
1531490172.7979128	0.100
1531490174.8026683	0.101
1531490176.8075807	0.101
1531490178.8125827	0.101
1531490180.8174026	0.100
1531490182.8221521	0.100
1531490184.8269758	0.099
1531490186.8317292	0.099
1531490188.8365371	0.098
1531490190.8413277	0.099
1531490192.8461728	0.098
1531490194.8509715	0.099
1531490196.8558414	0.099
1531490198.8606327	0.099
1531490200.8654256	0.099
1531490202.8773873	0.099
1531490204.8825843	0.099
1531490206.88777	0.100
1531490208.8931096	0.100
1531490210.8984253	0.100
1531490212.9034762	0.100
1531490214.9088998	0.100
1531490216.9140248	0.100
1531490218.9194667	0.100
1531490220.9254055	0.100
1531490222.930748	0.100
1531490224.9369714	0.100
1531490226.943899	0.099
1531490228.9508464	0.099
1531490230.9566991	0.099
1531490232.968757	0.099
1531490234.9739015	0.099
1531490236.9792724	0.098
1531490238.984523	0.099
1531490240.9897454	0.099
1531490242.9949412	0.099
1531490245.000395	0.099
1531490247.0056722	0.100
1531490249.0108895	0.100
1531490251.0162525	0.100
1531490253.0215108	0.099
1531490255.0267906	0.099
1531490257.0321028	0.099
1531490259.0378187	0.097
1531490261.0437212	0.097
1531490263.0627005	0.097
1531490265.0681286	0.097
1531490267.0733902	0.097
1531490269.0823033	0.098
1531490271.0875833	0.099
1531490273.0928574	0.099
1531490275.0980935	0.099
1531490277.10317	0.099
1531490279.108534	0.099
1531490281.1273007	0.099
1531490283.1323144	0.099
1531490285.1380124	0.099
1531490287.1432955	0.100
1531490289.148969	0.101
1531490291.1541584	0.102
1531490293.1594834	0.102
1531490295.1648023	0.102
1531490297.1701617	0.101
1531490299.17535	0.100
1531490301.1810298	0.099
1531490303.1864736	0.099
1531490305.1916795	0.099
1531490307.1970344	0.099
1531490309.2022247	0.100
1531490311.207602	0.101
1531490313.2129097	0.101
1531490315.2181501	0.101
1531490317.2239165	0.100
1531490319.2299035	0.100
1531490321.2351937	0.100
1531490323.2413015	0.099
1531490325.2479672	0.099
1531490327.2538257	0.099
1531490329.2603219	0.099
1531490331.2662938	0.099
1531490333.2722294	0.099
1531490335.2776513	0.099
1531490337.282841	0.099
1531490339.2881248	0.099
1531490341.2933023	0.099
1531490343.2986383	0.099
1531490345.3038113	0.099
1531490347.3091238	0.099
1531490349.3142	0.099
1531490351.3197122	0.100
1531490353.3250844	0.100
1531490355.3301702	0.100
1531490357.3351905	0.100
1531490359.3403237	0.099
1531490361.3460417	0.098
1531490363.3512359	0.098
1531490365.3563805	0.098
1531490367.361439	0.098
1531490369.3665137	0.098
1531490371.3721988	0.098
1531490373.377595	0.099
1531490375.3828294	0.100
1531490377.3882592	0.101
1531490379.394044	0.101
1531490381.4000804	0.101
1531490383.4060767	0.101
1531490385.4114869	0.101
1531490387.4175837	0.100
1531490389.4228842	0.100
1531490391.4280624	0.099
1531490393.4333262	0.099
1531490395.4387243	0.099
1531490397.4440176	0.099
1531490399.4493346	0.099
1531490401.4545548	0.099
1531490403.4599447	0.099
1531490405.4653883	0.099
1531490407.4706564	0.100
1531490409.4759538	0.100
1531490411.481191	0.100
1531490413.486484	0.099
