Epoch_Time	Flow_Rate
 1531828979.6989272	0.069
1531828980.7037466	0.121
1531828981.7084777	0.146
1531828982.7135677	0.166
1531828983.7186713	0.185
1531828984.7238026	0.191
1531828985.7294934	0.181
1531828986.740575	0.165
1531828987.7460845	0.151
1531828988.7515938	0.140
1531828989.7570941	0.131
1531828990.7625318	0.125
1531828991.7745247	0.119
1531828992.7799888	0.114
1531828993.7850678	0.110
1531828994.790159	0.108
1531828995.7953873	0.106
1531828996.8006775	0.104
1531828997.806146	0.103
1531828998.8115742	0.102
1531828999.8170028	0.100
1531829000.8228288	0.099
1531829001.8288076	0.098
1531829002.8346326	0.098
1531829003.8404782	0.098
1531829004.8463793	0.098
1531829005.852081	0.097
1531829006.8580122	0.097
1531829007.8639274	0.096
1531829008.8697457	0.096
1531829009.8756535	0.096
1531829010.8814347	0.096
1531829011.887444	0.096
1531829012.8933191	0.096
1531829013.8992603	0.096
1531829014.904981	0.096
1531829015.9106207	0.096
1531829016.9163475	0.096
1531829017.9219856	0.096
1531829018.9280074	0.096
1531829019.933166	0.097
1531829020.9387498	0.096
1531829021.9443147	0.095
1531829022.9498885	0.096
1531829023.9553661	0.097
1531829024.9608402	0.096
1531829025.9667237	0.096
1531829026.9721947	0.096
1531829027.9777112	0.096
1531829028.983087	0.096
1531829029.9889452	0.096
1531829030.9948685	0.097
1531829032.0069728	0.096
1531829033.0125842	0.096
1531829034.018202	0.096
1531829035.0237954	0.096
1531829036.0297053	0.096
1531829037.0423152	0.096
1531829038.0476158	0.096
1531829039.052712	0.096
1531829040.058017	0.097
1531829041.0640304	0.098
1531829042.0760558	0.097
1531829043.0810983	0.096
1531829044.0862305	0.096
1531829045.0913439	0.096
1531829046.0965042	0.097
1531829047.109007	0.097
1531829048.114592	0.097
1531829049.1200535	0.097
1531829050.1257105	0.096
1531829051.1311543	0.096
1531829052.1431248	0.096
1531829053.1487002	0.097
1531829054.1541655	0.097
1531829055.1596067	0.097
1531829056.1654985	0.097
1531829057.1778605	0.097
1531829058.1836214	0.097
1531829059.1895156	0.097
1531829060.19525	0.097
1531829061.2009745	0.098
1531829062.2131045	0.097
1531829063.21873	0.097
1531829064.2239225	0.098
1531829065.2290761	0.098
1531829066.2342753	0.097
1531829067.245712	0.097
1531829068.2512524	0.098
1531829069.257083	0.098
1531829070.2624896	0.097
1531829071.2680833	0.097
1531829072.2801723	0.098
1531829073.285737	0.097
1531829074.2910857	0.097
1531829075.2968836	0.097
1531829076.3030863	0.097
1531829077.3160062	0.097
1531829078.3214355	0.097
1531829079.3269513	0.097
1531829080.3317728	0.097
1531829081.3368983	0.098
1531829082.348586	0.099
1531829083.3537462	0.098
1531829084.3591528	0.097
1531829085.3646758	0.098
1531829086.3700626	0.097
1531829087.381705	0.097
1531829088.3872325	0.098
1531829089.3926587	0.097
1531829090.398599	0.098
1531829091.4043806	0.097
1531829092.4166381	0.097
1531829093.4224033	0.097
1531829094.428303	0.097
1531829095.4341104	0.098
1531829096.4399407	0.098
1531829097.452178	0.098
1531829098.4574687	0.098
1531829099.4632292	0.098
1531829100.4690561	0.098
1531829101.4749444	0.098
1531829102.4871306	0.098
1531829103.492953	0.098
1531829104.4988854	0.098
1531829105.5047822	0.098
1531829106.5108302	0.098
1531829107.5231302	0.098
1531829108.528319	0.097
1531829109.5333972	0.097
1531829110.538626	0.098
1531829111.5441508	0.099
1531829112.5559504	0.098
1531829113.5612767	0.097
1531829114.5667634	0.097
1531829115.5725422	0.098
1531829116.5784054	0.098
1531829117.5903957	0.099
1531829118.5959132	0.098
1531829119.601271	0.098
1531829120.6068044	0.098
1531829121.6121554	0.098
1531829122.6244752	0.098
1531829123.6298583	0.098
1531829124.6353827	0.098
1531829125.6407998	0.098
1531829126.6461892	0.098
1531829127.658154	0.098
1531829128.6640117	0.098
1531829129.6698146	0.098
1531829130.6756678	0.098
1531829131.681429	0.098
1531829132.6935456	0.098
1531829133.6994243	0.099
1531829134.7052693	0.099
1531829135.7108877	0.099
1531829136.7164884	0.098
1531829137.7297568	0.098
1531829138.7349138	0.098
1531829139.7403698	0.098
1531829140.7456293	0.097
1531829141.7508628	0.098
1531829142.762372	0.099
1531829143.7678926	0.099
1531829144.7733555	0.098
1531829145.7790108	0.098
1531829146.7842052	0.098
1531829147.8087974	0.098
1531829148.8144364	0.098
1531829149.8200166	0.098
1531829150.82519	0.098
1531829151.8304358	0.098
1531829152.9716735	0.098
1531829153.9773898	0.098
1531829154.9831655	0.097
1531829155.989058	0.097
1531829156.9941807	0.098
1531829158.1369524	0.098
1531829159.1424131	0.099
1531829160.1482904	0.099
1531829161.1533563	0.099
1531829162.1585994	0.099
1531829163.2236164	0.099
1531829164.2288826	0.098
1531829165.2340286	0.098
1531829166.2392478	0.098
1531829167.244969	0.098
1531829168.2501044	0.099
1531829169.2570348	0.098
1531829170.2621267	0.098
1531829171.267484	0.098
1531829172.2732313	0.098
1531829173.2902825	0.098
1531829174.29494	0.098
1531829175.299519	0.098
1531829176.304827	0.099
1531829177.3100457	0.098
1531829178.3154488	0.098
1531829179.320281	0.098
1531829180.3256106	0.098
1531829181.3308983	0.098
1531829182.335922	0.098
1531829183.352811	0.098
1531829184.35742	0.099
1531829185.362057	0.099
1531829186.3672545	0.099
1531829187.3722913	0.100
1531829188.3902962	0.099
1531829189.3954759	0.098
1531829190.40055	0.098
1531829191.4056048	0.098
1531829192.4106615	0.098
1531829193.415877	0.099
1531829194.4209251	0.099
1531829195.4255736	0.098
1531829196.4301286	0.099
1531829197.4348266	0.098
1531829198.4394097	0.098
1531829199.444499	0.098
1531829200.4494753	0.098
1531829201.4544995	0.098
1531829202.4594972	0.099
1531829203.4648592	0.099
1531829204.4698367	0.099
1531829205.4749103	0.098
1531829206.479932	0.099
1531829207.4849539	0.099
1531829208.4900863	0.099
1531829209.495169	0.099
1531829210.5001795	0.099
1531829211.5052333	0.098
1531829212.5102654	0.097
1531829213.5279436	0.097
1531829214.5331473	0.098
1531829215.5386937	0.098
1531829216.5441153	0.099
1531829217.5495665	0.099
